,station_id,lat,lng,pickup_count,dropoff_count,total_trips,cluster
533,3231,40.76780080148132,-73.96592080593109,8991,8962,17953,15
534,409,40.6906495,-73.95643107,9188,8760,17948,18
535,3386,40.6809591,-73.99905709,9040,8852,17892,19
536,3452,40.71915571696044,-73.94885390996933,8947,8850,17797,10
537,3580,40.6737236,-73.9631611,9063,8531,17594,6
538,3343,40.7997568,-73.9621128676,9072,8521,17593,0
539,3542,40.8086249,-73.9596214,9738,7842,17580,21
540,3571,40.676368,-73.95291800000001,8759,8679,17438,6
541,3074,40.70767788,-73.94016171,8673,8729,17402,10
542,3454,40.71036854235229,-73.94705951213838,8696,8622,17318,10
543,3544,40.6804836,-73.9646795,8661,8457,17118,6
544,385,40.75797322,-73.96603308,8528,8574,17102,4
545,3094,40.7169811,-73.94485918,8570,8486,17056,10
546,3699,40.76360467795863,-73.98917958140373,8488,8355,16843,11
